ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM077_/PSM077__MLST/mlst_report.tsv	17	1	1	2	1	1	5	3
PSM078_/PSM078__MLST/mlst_report.tsv	1*	1	1*	1	10	1	3	5
PSM079_/PSM079__MLST/mlst_report.tsv	55	1	1	6	6	1	12	12
PSM080_/PSM080__MLST/mlst_report.tsv	Novel	21	1	7	6	1	1	1
PSM081_/PSM081__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM082_/PSM082__MLST/mlst_report.tsv	12	1	1	6	4	3	5	1
PSM083_/PSM083__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM084_/PSM084__MLST/mlst_report.tsv	41	1	1	9	9	1	3	2
PSM085_/PSM085__MLST/mlst_report.tsv	14	1	1	2	1	5	5	3
PSM086_/PSM086__MLST/mlst_report.tsv	3	1	1	2	1	1	1	1
PSM087_/PSM087__MLST/mlst_report.tsv	95	1	5	11	17	1	3	1
PSM088_/PSM088__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM089_/PSM089__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM090_/PSM090__MLST/mlst_report.tsv	Novel	37	5	11	23	1	3	1
PSM091_/PSM091__MLST/mlst_report.tsv	Novel*	1*	1	9*	22*	14*	3*	1*
PSM092_/PSM092__MLST/mlst_report.tsv	46*	4	1	6	1	1*	10	1
PSM093_/PSM093__MLST/mlst_report.tsv	1*	1*	1	1*	10*	1	3*	5*
PSM094_/PSM094__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM095_/PSM095__MLST/mlst_report.tsv	54	1	4	7	1	1	3	3
PSM096_/PSM096__MLST/mlst_report.tsv	102	1	1	2	1	5	5	1
PSM097_/PSM097__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM098_/PSM098__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM099_/PSM099__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM100_/PSM100__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM101_/PSM101__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM102_/PSM102__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM103_/PSM103__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM104_/PSM104__MLST/mlst_report.tsv	67	1	1	9	9	1	3	5
PSM105_/PSM105__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM106_/PSM106__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM107_/PSM107__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM108_/PSM108__MLST/mlst_report.tsv	26	1	1	6	1	4	3	4
PSM109_/PSM109__MLST/mlst_report.tsv	34	1	5	7	1	1	3	1
PSM110_/PSM110__MLST/mlst_report.tsv	55	1	1	6	6	1	12	12
PSM111_/PSM111__MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM112_/PSM112__MLST/mlst_report.tsv	39	3	7	10	8	7	2	10
PSM113_/PSM113__MLST/mlst_report.tsv	11	5	8	5	11	9	11	8
PSM114_/PSM114__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM115_/PSM115__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM116_/PSM116__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM117_/PSM117__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM118_/PSM118__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM119_/PSM119__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM120_/PSM120__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM121_/PSM121__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM122_/PSM122__MLST/mlst_report.tsv	33	1	1	2	1	6	5	3
